p_val	pct.1	pct.2	p_val_adj	diff
ENST00000555870.5	0.678763050064007	0.059	0	1	0.00184548145398733
ENST00000253039.8	0.682337670161465	0.256	0	1	-0.000516125888291261
ENST00000634247.1	0.686882938621833	0.062	0	1	0.00148283171229392
ENST00000630362.2	0.688364975475923	0.178	0	1	-0.00178133963249361
ENST00000551775.5	0.7077825911069	0.125	0	1	0.000102100695801733
ENST00000350669.5	0.716586402865035	0	0.363	1	-0.0025952031050143
ENST00000416718.2	0.720162212671865	0.167	0.15	1	-0.00446272366980838
ENST00000607964.1	0.725620991871632	0	0.182	1	-0.00346972967690461
ENST00000505232.5	0.729084633203984	0.097	0	1	0.00357103906021212
ENST00000296674.12	0.731653844756388	0.083	0.092	1	0.000476901774282952
ENST00000507968.1	0.738022578390793	0	0.086	1	-0.00471901255297233
ENST00000622602.1	0.752747974714685	0	0.098	1	-0.00247131169658627
ENST00000644381.1	0.756017476475273	0	0.095	1	-0.00348672808593063
ENST00000272317.10	0.767772110340058	0	0.112	1	-0.00255714447061438
ENST00000551570.5	0.777191931209157	0.03	0	1	8.64461846080041e-05
ENST00000366405.2	0.778825577417002	0	0.323	1	-0.0130217761787414
ENST00000640789.2	0.794013497881454	0	0.147	1	-0.0101509598439567
ENST00000568952.1	0.794940662727971	0	0.406	1	-0.0149532312442111
ENST00000260379.10	0.800698966920325	0	0.153	1	0.00212492797655104
ENST00000628507.1	0.81139078386873	0.11	0	1	0.00658429453934729
ENST00000358455.4	0.821044131367875	0.131	0	1	0.0017466687809177
ENST00000361567.2	0.822328853366689	0.235	0.366	1	-0.00150500059454905
ENST00000514406.2	0.83109277190125	0.167	0.184	1	-0.00566990235243984
ENST00000569306.1	0.831214406981765	0.165	0.164	1	-0.00940634349902831
ENST00000604646.1	0.835495386815544	0.377	0	1	-0.00640063121865579
ENST00000585392.2	0.836067239784355	0.061	0	1	-0.000251529175084564
ENST00000542931.6	0.837990718410491	0.167	0	1	0.000159001974097726
ENST00000640977.1	0.844642367711469	0.18	0	1	0.00444097565679316
ENST00000553205.1	0.860080037544256	0.091	0	1	-0.00164426617810353
ENST00000221233.8	0.860237215437702	0.042	0.13	1	-0.000191236171960932
ENST00000620031.5	0.867227933042648	0.098	0	1	-0.000178252063851692
ENST00000244745.3	0.8749877984116	0.117	0	1	0.000155626405647461
ENST00000630857.1	0.885270346925496	0.14	0	1	0.00158321105141962
ENST00000564688.1	0.892080085274208	0.034	0	1	0.0022024148479799
ENST00000600880.5	0.899502003446055	0.042	0	1	0.00168509766471629
ENST00000594787.1	0.900375617026888	0.203	0	1	0.00237788239838018
ENST00000284878.11	0.904053906198897	0.225	0	1	-0.00027719668142183
ENST00000433055.1	0.936721546034458	0.114	0	1	-0.000979945444180425
ENST00000396183.7	0.940011232753948	0.127	0	1	-0.000376132352961217
ENST00000514354.5	0.952950474489068	0.053	0.11	1	-0.00376241981972926
ENST00000400593.6	0.979729641316537	0.322	0.13	1	-0.00486048702759125
ENST00000455878.2	0.984895019010976	0.14	0.147	1	-0.00220875506907501
ENST00000374980.2	0.98767780240311	0.087	0.251	1	0.00164437850717977
ENST00000503431.5	1	0.078	0	1	0.00301925148037526
ENST00000556554.1	1	0.102	0	1	-0.000642320902244959
ENST00000381342.6	1	0	0.187	1	0.00237966134166667
